Commercial,,,Sampath,,,HNB,,,Pan Asia,,,DFCC,,,NDB,
Date ,Price,,Date ,Price,,Date ,Price,,Date ,Price,,Date ,Price,,Date ,Price
1/2/2015,139.52,,1/2/2015,60.28,,1/2/2015,164.12,,1/2/2015,25.90,,1/2/2015,189.68,,1/2/2015,180.28
1/6/2015,143.59,,1/6/2015,61.56,,1/6/2015,166.73,,1/6/2015,26.70,,1/6/2015,190.11,,1/6/2015,182.37
1/7/2015,143.59,,1/7/2015,61.76,,1/7/2015,166.05,,1/7/2015,26.10,,1/7/2015,192.09,,1/7/2015,181.29
1/8/2015,144.87,,1/8/2015,62.45,,1/8/2015,166.64,,1/8/2015,27.00,,1/8/2015,194.85,,1/8/2015,183.96
1/9/2015,149.89,,1/9/2015,63.67,,1/9/2015,171.19,,1/9/2015,26.90,,1/9/2015,198.21,,1/9/2015,185.40
1/12/2015,151.65,,1/12/2015,64.13,,1/12/2015,172.62,,1/12/2015,26.40,,1/12/2015,193.81,,1/12/2015,181.65
1/13/2015,151.17,,1/13/2015,63.24,,1/13/2015,173.38,,1/13/2015,26.70,,1/13/2015,192.61,,1/13/2015,180.35
1/16/2015,150.21,,1/16/2015,63.64,,1/16/2015,177.33,,1/16/2015,26.60,,1/16/2015,187.95,,1/16/2015,176.24
1/19/2015,143.43,,1/19/2015,62.45,,1/19/2015,172.03,,1/19/2015,26.00,,1/19/2015,185.28,,1/19/2015,170.53
1/20/2015,143.75,,1/20/2015,62.40,,1/20/2015,172.53,,1/20/2015,25.30,,1/20/2015,185.80,,1/20/2015,173.28
1/21/2015,143.59,,1/21/2015,62.40,,1/21/2015,172.62,,1/21/2015,25.00,,1/21/2015,184.42,,1/21/2015,173.28
1/22/2015,141.99,,1/22/2015,61.86,,1/22/2015,174.64,,1/22/2015,24.90,,1/22/2015,186.06,,1/22/2015,173.28
1/23/2015,143.59,,1/23/2015,63.26,,1/23/2015,173.38,,1/23/2015,24.50,,1/23/2015,186.14,,1/23/2015,173.28
1/26/2015,143.59,,1/26/2015,63.19,,1/26/2015,172.45,,1/26/2015,24.20,,1/26/2015,185.28,,1/26/2015,173.28
1/27/2015,144.39,,1/27/2015,63.36,,1/27/2015,172.62,,1/27/2015,24.40,,1/27/2015,187.01,,1/27/2015,175.66
1/28/2015,143.67,,1/28/2015,64.10,,1/28/2015,176.32,,1/28/2015,24.80,,1/28/2015,189.59,,1/28/2015,178.26
1/29/2015,143.51,,1/29/2015,64.13,,1/29/2015,178.43,,1/29/2015,25.00,,1/29/2015,189.59,,1/29/2015,180.21
1/30/2015,134.10,,1/30/2015,62.04,,1/30/2015,172.28,,1/30/2015,24.40,,1/30/2015,182.70,,1/30/2015,171.40
2/2/2015,128.27,,2/2/2015,60.92,,2/2/2015,164.96,,2/2/2015,22.10,,2/2/2015,176.75,,2/2/2015,163.89
2/5/2015,129.31,,2/5/2015,60.69,,2/5/2015,170.01,,2/5/2015,23.50,,2/5/2015,175.03,,2/5/2015,161.72
2/6/2015,134.10,,2/6/2015,63.67,,2/6/2015,170.01,,2/6/2015,24.40,,2/6/2015,180.97,,2/6/2015,168.00
2/9/2015,134.02,,2/9/2015,63.67,,2/9/2015,179.52,,2/9/2015,24.00,,2/9/2015,183.13,,2/9/2015,170.39
2/10/2015,138.80,,2/10/2015,63.90,,2/10/2015,187.43,,2/10/2015,25.00,,2/10/2015,185.28,,2/10/2015,174.14
2/11/2015,141.99,,2/11/2015,66.29,,2/11/2015,193.15,,2/11/2015,25.50,,2/11/2015,188.30,,2/11/2015,180.49
2/12/2015,141.99,,2/12/2015,66.19,,2/12/2015,193.57,,2/12/2015,25.00,,2/12/2015,186.32,,2/12/2015,180.57
2/13/2015,141.99,,2/13/2015,66.24,,2/13/2015,193.57,,2/13/2015,25.50,,2/13/2015,188.64,,2/13/2015,180.49
2/16/2015,141.44,,2/16/2015,66.06,,2/16/2015,194.00,,2/16/2015,25.00,,2/16/2015,187.87,,2/16/2015,180.49
2/18/2015,142.47,,2/18/2015,66.14,,2/18/2015,197.95,,2/18/2015,24.80,,2/18/2015,186.66,,2/18/2015,179.05
2/19/2015,143.59,,2/19/2015,66.42,,2/19/2015,201.74,,2/19/2015,24.50,,2/19/2015,187.01,,2/19/2015,181.07
2/20/2015,143.43,,2/20/2015,68.38,,2/20/2015,202.24,,2/20/2015,24.70,,2/20/2015,189.25,,2/20/2015,184.18
2/23/2015,142.79,,2/23/2015,68.15,,2/23/2015,201.99,,2/23/2015,24.60,,2/23/2015,189.33,,2/23/2015,185.12
2/24/2015,143.35,,2/24/2015,68.20,,2/24/2015,200.73,,2/24/2015,24.50,,2/24/2015,188.47,,2/24/2015,184.18
2/25/2015,143.11,,2/25/2015,68.25,,2/25/2015,198.04,,2/25/2015,24.30,,2/25/2015,193.64,,2/25/2015,184.10
2/26/2015,142.79,,2/26/2015,68.48,,2/26/2015,196.10,,2/26/2015,24.80,,2/26/2015,194.76,,2/26/2015,187.79
2/27/2015,142.39,,2/27/2015,68.25,,2/27/2015,197.19,,2/27/2015,24.80,,2/27/2015,193.04,,2/27/2015,187.71
3/2/2015,142.79,,3/2/2015,68.00,,3/2/2015,197.78,,3/2/2015,24.60,,3/2/2015,189.59,,3/2/2015,187.79
3/3/2015,143.59,,3/3/2015,68.76,,3/3/2015,200.22,,3/3/2015,24.80,,3/3/2015,189.59,,3/3/2015,187.71
3/4/2015,143.35,,3/4/2015,68.56,,3/4/2015,198.54,,3/4/2015,24.50,,3/4/2015,188.21,,3/4/2015,187.71
3/6/2015,143.19,,3/6/2015,69.53,,3/6/2015,199.47,,3/6/2015,24.40,,3/6/2015,189.85,,3/6/2015,189.16
3/9/2015,143.67,,3/9/2015,68.76,,3/9/2015,199.47,,3/9/2015,24.00,,3/9/2015,188.90,,3/9/2015,187.71
3/10/2015,146.06,,3/10/2015,68.76,,3/10/2015,200.31,,3/10/2015,23.60,,3/10/2015,188.73,,3/10/2015,188.80
3/11/2015,145.98,,3/11/2015,68.76,,3/11/2015,200.31,,3/11/2015,23.60,,3/11/2015,186.49,,3/11/2015,187.71
3/12/2015,145.58,,3/12/2015,68.51,,3/12/2015,199.47,,3/12/2015,23.60,,3/12/2015,186.57,,3/12/2015,187.79
3/13/2015,144.15,,3/13/2015,68.64,,3/13/2015,197.78,,3/13/2015,23.50,,3/13/2015,187.87,,3/13/2015,187.50
3/16/2015,143.35,,3/16/2015,68.38,,3/16/2015,197.78,,3/16/2015,23.40,,3/16/2015,187.87,,3/16/2015,187.64
3/17/2015,142.79,,3/17/2015,68.76,,3/17/2015,198.20,,3/17/2015,23.40,,3/17/2015,186.23,,3/17/2015,188.29
3/18/2015,139.60,,3/18/2015,68.46,,3/18/2015,198.46,,3/18/2015,23.10,,3/18/2015,185.28,,3/18/2015,187.71
